Equipe,BourseMaire,BoursesIndiv,BourseEquipe,Total,TotalSansMaire
France,250,2205,200,2655,2405
Canada,250,2015,0,2265,2015
USA,250,1355,150,1755,1505
NorthStar Dev. Cycling,500,885,0,1385,885
PNW Racing Foundation,0,1240,0,1240,1240
Japon,250,885,0,1135,885
Alliance CC,1000,135,0,1135,135
Equipe du Quebec,250,775,100,1125,875
Colombie,0,540,0,540,540
EC Subway,0,510,0,510,510
Ignite JR Cycling,0,375,0,375,375
Vantaggio Fitness & Nutrition,0,280,0,280,280
Espoirs Quilicot,0,135,0,135,135
Mexique,0,30,0,30,30
